title,nivel,weather,basic,adventurous,style,fit,color_name
Andrea Dress hippie ,1,warm,false,three,boho classic,loose,blue_dark
Andy Pant check,1,cold,false,two,minimal classic,straight,gray_light
Animal Skirt pleat ,1,cold,false,three four,boho classic,straight,grey_dark
Anna Shirt wdc,2,warm,false,two three,classic,loose,white
Anna Shirt wdc,2,warm,false,two three,classic,loose,yellow
Anna Shirt wdc,2,warm,false,two three,classic,loose,blue_dark
Anna T-shirt oneck,2,both,true,two,casual classic,straight,blue_klein
Anna T-shirt oneck,2,both,true,two,casual classic,straight,blue_dark
Anna T-shirt oneck,2,both,true,two,casual classic,straight,blue_dark
Annan Dress cerise,1,both,false,three,boho classic,straight,brown_ecru
Annan Dress cerise,1,both,false,three,boho classic,straight,gray_light
Ante Pant ,1,cold,false,three four,street night,tight,green
Ante Trench belt,3,cold,false,two,classic,straight,blue_light
Arya Cardigan maxi ,3,cold,false,two,boho classic,straight,blue_petrol
Arya Cardigan maxi ,3,cold,false,two,boho classic,straight,pink_fuchsia
Asha Sweater joules ,2,cold,false,two,casual street,straight,brown
Asmine Jacket soya ,3,cold,false,two,street minimal,straight,yellow
Athantic Jeans lexy ,1,both,false,two,casual street,tight,black
Athlei Coat padded ,3,cold,false,two,classic casual,straight,green_khaki
Aurore Sweater stripes ,2,cold,false,two,boho,oversize,orange
Aurore Sweater stripes ,2,cold,false,two,boho,oversize,green
Aurore Sweater stripes ,2,cold,false,two,boho,oversize,black
Austen Shirt miniprint ,2,both,false,two three,classic boho,loose,blue_dark
Austen Shirt miniprint ,2,both,false,two three,classic boho,loose,blue_klein
Austen Skirt floral ,1,both,false,three two,boho classic,loose,garnet_crimson
Auttum Shirt hippie,2,warm,false,two three,boho classic,loose,green
Auttum Shirt hippie,2,warm,false,two three,boho classic,loose,red
Avery Dress dots ,1,warm,false,four,boho classic,straight,pink_salmon
Awpocket Shirt miniprint,2,warm,false,three,boho,straight,blue
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,grey_dark
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,blue_dark
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,grey
Awsix Skirt solid ,1,warm,false,two three,street classic,straight,yellow_mustand
Awvneck Shirt dots ,2,warm,false,three,boho classic,straight,orange_rust
Base Sweater high ,2,cold,true,one two,minimal classic,straight,white
Base Sweater high ,2,cold,true,one two,minimal classic,straight,blue_dark
Base Sweater high ,2,cold,true,one two,minimal classic,straight,blue
Base Sweater high ,2,cold,true,one two,minimal classic,straight,garnet
Basha Skirt bohck,1,both,false,two three,classic street,tight,green
Basha Skirt bohck,1,both,false,two three,classic street,tight,grey_dark
Basic Shirt colors ,2,both,true,two,classic minimal,straight,green_khaki
Basic Shirt colors ,2,both,true,two,classic minimal,straight,yellow_mustand
Basic Shirt colors ,2,both,true,two,classic minimal,straight,blue_dark
Basic Shirt colors ,2,both,true,two,classic minimal,straight,white
Basic Shirt colors ,2,both,true,two,classic minimal,straight,blue_dark
Basic Shirt colors ,2,both,true,two,classic minimal,straight,brown_ecru
Bawalma Scarf young ,3,cold,,three four,boho street,,green
Beatrice Dress print ,1,cold,false,two,classic boho,straight,red
Beatrice Dress print ,1,cold,false,two,classic boho,straight,blue_dark
Bella Pant leo ,1,warm,false,three,boho street,loose,green_khaki
Belle Pant soft ,1,both,false,three two,street night,tight,black
Belted Skirt warehouse ,1,cold,false,three two,classic boho,straight,brown
Berry Jeans high ,1,cold,false,two,casual street,tight,brown_beige
Berry Jeans high ,1,cold,false,two,casual street,tight,green_khaki
Berry Jeans high ,1,cold,false,two,casual street,tight,black
Best Bag whisky,3,cold,,two,boho street,,green_khaki
Betty Pant check,1,warm,false,three,classic,straight,blue_dark
Birch Dress pleated ,1,both,false,two three,boho classic,straight,black
Birds Shirt closet ,2,warm,false,two three,boho classic,loose,green_khaki
Birds Top closet ,2,warm,false,two three,boho,straight,brown_ecru
Biston Parka difusion ,3,cold,false,three four,casual street,straight,blue_dark
Biston Parka difusion ,3,cold,false,three four,casual street,straight,blue_light
Biston Parka difusion ,3,cold,false,three four,casual street,straight,orange
Biston Parka difusion ,3,cold,false,three four,casual street,straight,white
Bita Tshirt tee ,2,warm,false,two,casual street,straight,blue_dark
Bita Tshirt tee ,2,warm,false,two,casual street,straight,green_dark
Bita Tshirt tee ,2,warm,false,two,casual street,straight,orange_rust
Blair Shirt floral ,2,cold,false,two,boho classic,loose,blue_dark
Blanche Pant flounce,1,cold,false,two,classic,straight,blue_dark
Blanka Sweater strong ,2,cold,false,two,casual,straight,green
Blanka Sweater strong ,2,cold,false,two,casual,straight,garnet
Blanka Sweater strong ,2,cold,false,two,casual,straight,red
Bobbi Cardigan leo ,3,cold,false,three,boho street,straight,grey
Bobbi Cardigan leopard,3,cold,false,two three,boho street,straight,white
Bobble Top shell ,2,warm,false,two,boho classic,straight,blue_dark
Bocabril Bag cow ,3,both,,two three,boho,,blue_light
Bocamber Bag cow ,3,cold,,three,boho casual,,blue_light
Bocamber Bag cow ,3,cold,,three,boho casual,,blue_dark
Bocamber Bag cow ,3,cold,,three,boho casual,,purple
Bocameba Bag buff ,3,both,,two three,casual boho,,black
Bocanna Bag cow ,3,cold,,two,minimal casual,,blue
Bocanna Bag cow ,3,cold,,two,minimal casual,,blue_dark
Bocapple Bag suede ,3,cold,,four,classic,,black
Bocaraton Bag cow ,3,cold,,two three,street,,blue_dark
Bocaraton Bag cow ,3,cold,,two three,street,,blue_dark
Bocarm Bag suede ,3,cold,,three,boho street,,white
Bocarthur Bag cow ,3,both,,two three,boho casual,,green
Bocarthur Bag cow ,3,both,,two three,boho casual,,blue
Bomber Jacket miniprint ,3,both,false,four five,street boho,straight,white
Bomber Jacket miniprint ,3,both,false,four five,street boho,straight,blue_light
Bona Pant miniprint ,1,both,false,two three,classic minimal,tight,blue_dark
Bona Pant miniprint ,1,both,false,two three,classic minimal,tight,blue_dark
Bonita Top desire ,2,warm,false,four,night street,loose,green
Bonita Top desire ,2,warm,false,four,night street,loose,red
Bonnie Shirt marine ,2,warm,false,two,boho classic,straight,blue_dark
Bridget Shirt chambray ,2,warm,false,two,classic,straight,orange
Brighton Tshirt capitan ,2,cold,false,two,classic casual,straight,blue
Brighton Tshirt tiger ,2,cold,false,three,street casual,straight,orange
Britney Tshirt cns ,2,warm,false,three,street classic,tight,orange
Britney Tshirt cns ,2,warm,false,three,street classic,tight,orange
Bronte Top miniprint ,2,both,false,three two,boho classic,straight,brown_ecru
Bsandal Cardigan buttons ,3,cold,false,two,boho,loose,black
Bsandal Cardigan buttons ,3,cold,false,two,boho,loose,orange
Bsandal Cardigan buttons ,3,cold,false,two,boho,loose,blue_dark
Bschrissiet Shirt tiger ,2,cold,false,two,classic,loose,red
Bsekin Skirt nice ,1,warm,false,three,boho classic,straight,blue
Bsgaigo Shirt print ,2,cold,false,two,classic boho,loose,orange
Bsgenny Sweater snow ,2,cold,false,two,boho street,oversize,black
Bsgenny Sweater snow ,2,cold,false,two,boho street,oversize,green_khaki
Bsgoline Tshirt fired ,2,warm,false,two,casual street,straight,green_khaki
Bshugo Cardigan acrilic,3,cold,false,two three,boho classic,loose,orange_rust
Bshugo Cardigan acrilic,3,cold,false,two three,boho classic,loose,blue_dark
Bsjasmine Skirt mini ,1,cold,false,two three,classic street,straight,red
