title,nivel,weather,basic,adventurous,style,fit,color_name
Toxiko Jeans colors ,1,cold,false,two three,casual street,tight,green
Toxiko Jeans colors ,1,cold,false,two three,casual street,tight,green_khaki
Toxiko Jeans colors ,1,cold,false,two three,casual street,tight,brown_taupe
Transil Pant olive ,1,cold,false,three,classic,tight,black
Triangle Pant olive ,1,cold,false,two,classic,tight,black
Trila Sweater nais ,2,cold,false,two three,boho street,straight,orange_coral
Trila Sweater nais ,2,cold,false,two three,boho street,straight,orange
Trila Sweater nais ,2,cold,false,two three,boho street,straight,pink
Trissa Jeans sky ,1,cold,false,two,classic minimal,straight,black
Trissa Jeans sky ,1,cold,false,two,classic minimal,straight,blue_dark
Tropic Jacket nude ,3,warm,false,two three,boho,loose,black
Tropic Top nude ,2,warm,false,two,boho classic,straight,black
Tropical Top nude,2,warm,false,two,boho,straight,black
Trudy Pant stripe ,1,both,false,two,street casual,tight,black
Trudy Pant stripe ,1,both,false,two,street casual,tight,brown_camel
Trudy Pant stripe ,1,both,false,two,street casual,tight,brown_ecru
Trudy Pant stripe ,1,both,false,two,street casual,tight,garnet
Trudy Pant stripe ,1,both,false,two,street casual,tight,green_khaki
Ttmix Dress ruffle ,1,warm,false,three,boho,straight,blue_dark
Ttoven Top v-neck ,2,warm,false,three,classic minimal,loose,yellow_mustand
Ttoven Top v-neck ,2,warm,false,three,classic minimal,loose,pink
Tube Skirt leather ,1,cold,false,three four,boho,tight,black
Tube Skirt leather ,1,cold,false,three four,boho,tight,blue_petrol
Tube Skirt leather ,1,cold,false,three four,boho,tight,brown
Tube Skirt leather ,1,cold,false,three four,boho,tight,grey_dark
Tube Skirt leather ,1,cold,false,three four,boho,tight,orange_rust
Tube Skirt leather ,1,cold,false,three four,boho,tight,brown_taupe
Tula Jeans plus ,1,both,false,two three,street boho,tight,black
Tula Jeans plus ,1,both,false,two three,street boho,tight,blue
Tula Shirt season ,2,warm,false,three,classic boho,loose,orange_rust
Tulipan Shirt cerise ,2,warm,false,two three,boho classic,straight,white
Tulle Skirt flowers ,1,warm,false,three four,boho classic,loose,blue
Tulle Skirt flowers ,1,warm,false,three four,boho classic,loose,pink
Tullia Shirt ethnic ,2,cold,false,three,classic street,straight,green
Tundra Scarf sew ,3,cold,,two three,boho street,,brown_beige
Tundra Scarf sew ,3,cold,,two three,boho street,,red
Tunic Dress three ,1,both,false,three,boho,straight,black
Tunic Dress tropez,1,warm,false,three,boho classic,loose,blue_dark
Turke Shirt cerise,2,warm,false,three four,classic boho,straight,blue_turquoise
Turna Top flounce ,2,warm,false,three two,boho classic,straight,grey_dark
Turner Top ware ,2,both,false,two,classic minimal,tight,black
Tuscany Sweater rayes ,2,both,false,three,casual,straight,black
Tuscany Sweater rayes ,2,both,false,three,casual,straight,red
Twiggy Skirt lindex ,1,cold,false,two three,classic minimal,straight,black
Twill Pant inch,1,warm,false,two three,classic minimal,tight,black
Twill Pant inch,1,warm,false,two three,classic minimal,tight,blue_dark
Twill Pant shape ,1,both,false,two three,classic,tight,black
Twill Pant shape ,1,both,false,two three,classic,tight,green_khaki
Uda Skirt cerise ,1,warm,false,three four,boho classic,straight,pink_salmon
Ultra Parka weight ,3,cold,false,two,classic,tight,blue_dark
Ultra Parka weight ,3,cold,false,two,classic,tight,gray_light
Ultra Parka weight ,3,cold,false,two,classic,tight,yellow
Uma Jeans skinny ,1,both,false,two three,street,tight,black
Una Dress navy,1,warm,false,three,classic,straight,blue_dark
Uni Shirt cerise ,2,both,false,three,boho classic,straight,orange_rust
Uni Shirt cerise ,2,both,false,three,boho classic,straight,white
Uniq Skirt senes ,1,both,false,three,street boho,loose,black
Uper Cardigan knit ,3,warm,false,two,boho classic,straight,black
Uper Cardigan knit ,3,warm,false,two,boho classic,straight,red
Urle Cardigan long ,3,cold,false,two three,boho classic,straight,brown_camel
Urle Cardigan long ,3,cold,false,two three,boho classic,straight,green_khaki
Urle Cardigan long ,3,cold,false,two three,boho classic,straight,yellow_mustand
Urle Cardigan long ,3,cold,false,two three,boho classic,straight,pink
Urle Cardigan long ,3,cold,false,two three,boho classic,straight,orange_rust
Urle Cardigan long ,3,cold,false,two three,boho classic,straight,brown_taupe
Used Jeans slim ,1,cold,false,two,street,tight,grey_dark
Utah Jumpsuit floral,1,warm,false,three four,classic boho,straight,purple_lilac
Utah Shirt floral ,2,warm,false,two three,classic boho,loose,purple_lilac
Utility Dress pocket,1,warm,false,two three,boho street,straight,green_dark
Utility Sweater button ,2,cold,false,two,casual boho,straight,brown_beige
Vall Jeans denim ,1,both,false,two,casual street,straight,blue
Varny Tshirt tees,2,cold,false,two three,street casual,tight,blue
Varny Tshirt tees,2,cold,false,two three,street casual,tight,orange
Vega Jacket print,3,warm,false,two three,boho casual,loose,green
Veina Sweatshirt tokyo,2,cold,false,three,casual,oversize,gray_light
Veina Sweatshirt tokyo,2,cold,false,three,casual,oversize,grey_dark
Veleta Jeans slim ,1,both,false,two,street,tight,blue_light
Velvet Jeans skinny ,1,both,false,two,casual,tight,blue_dark
Vendel Shirt blouse ,2,warm,false,three two,boho classic,straight,green_khaki
Vendel Shirt blouse ,2,warm,false,three two,boho classic,straight,yellow_mustand
Vera Jeans denim ,1,both,false,two,classic street,tight,black
Vera Pant deep ,1,both,false,three,classic minimal,tight,black
Vera Pant deep ,1,both,false,three,classic minimal,tight,blue_dark
Vert Pant bonnes ,1,cold,false,two three,classic,tight,brown_beige
Verta Sweater ycoo,2,warm,false,three,street boho,loose,green
Verta Sweater ycoo,2,warm,false,three,street boho,loose,yellow_mustand
Verta Sweater ycoo,2,warm,false,three,street boho,loose,red
Vertical Shirt soft ,2,cold,false,two,classic,straight,blue_light
Very Tshirt gj ,2,warm,false,two,casual minimal,straight,blue_dark
Vesna Pant wdc,1,cold,false,three four,classic,tight,black
Vesna Pant wdc,1,cold,false,three four,classic,tight,blue_dark
Viadelia Jeans noos,1,both,false,two,classic,straight,black
Viadelia Jeans noos,1,both,false,two,classic,straight,blue_dark
Viallia Tshirt button ,2,warm,false,two,classic boho,loose,blue_dark
Viallia Tshirt button ,2,warm,false,two,classic boho,loose,white
Viamy Short chino ,1,warm,false,three,classic boho,straight,brown_light
Viamy Short chino ,1,warm,false,three,classic boho,straight,pink
Vianna T-shirt solid ,2,warm,false,two,casual classic,loose,blue_dark
Vianna T-shirt solid ,2,warm,false,two,casual classic,loose,garnet
Vianna T-shirt solid ,2,warm,false,two,casual classic,loose,white
Vianta Sweater knit,2,cold,false,three,boho street,tight,brown_beige
Viatta Shirt parda,2,warm,false,three four,street classic,straight,green
Vibes Tshirt summ ,2,warm,false,two,casual,straight,blue_dark
Vibes Tshirt summ ,2,warm,false,two,casual,straight,white
Vibibi Pant rwsl ,1,both,false,two,casual street,straight,blue_light
Vibirdon Dress salia ,1,warm,false,three,boho classic,loose,green
Vibirth Sweater knit ,2,cold,false,two three,boho casual,loose,green_dark
Vibista Dress noos ,1,both,false,two,classic,straight,blue
Viblendy Sweater knit ,2,cold,false,three,boho casual,straight,pink_nude
Viblue Jacket noos,3,cold,false,three,street night,tight,black
Viblue Jacket noos,3,cold,false,three,street night,tight,blue_light
Viblue Jacket noos,3,cold,false,three,street night,tight,pink
Vibolonia Sweater oneck ,2,cold,true,two one,classic casual,straight,blue_klein
Vibolonia Sweater oneck ,2,cold,true,two one,classic casual,straight,brown_ecru
Vicamisha Coat long,3,cold,false,two,classic minimal,straight,black
Vicassie Skirt denim ,1,both,false,two,casual street,tight,brown_beige
Vicatja Parka noos ,3,cold,false,three,casual,straight,black
Vicatja Parka noos ,3,cold,false,three,casual,straight,green_khaki
Vicatja Parka noos ,3,cold,false,three,casual,straight,red
Vicelia Jacket blazer ,3,warm,false,three,classic minimal,straight,brown_ecru
Vichino Short noos ,1,warm,false,two,classic,tight,brown_beige
Vichino Short noos ,1,warm,false,two,classic,tight,blue_dark
Vichoose Skirt short,1,cold,false,two,boho classic,loose,blue_dark
Vicky Top lencel ,2,warm,false,two,classic,straight,black
Vicky Tshirt street,2,warm,false,two three,boho classic,straight,blue_dark
