title,nivel,weather,basic,adventurous,style,fit,color_name
Abbey Sweater embroidered ,2,cold,false,two,classic,straight,red
Acacia Top majolica,2,warm,false,two three,night boho,straight,black
Acacia Top majolica,2,warm,false,two three,night boho,straight,black
Acom Jacket port ,3,cold,false,three,classic casual,straight,blue_dark
Acom Jacket port ,3,cold,false,three,classic casual,straight,blue_dark
Adette Shirt broadway ,2,warm,false,two,boho casual,loose,yellow_mustand
Agathe Skirt mila ,1,warm,false,three,boho street,loose,brown_ecru
Agave Tshirt mila ,2,warm,false,two,boho,straight,yellow_mustand
Agave Tshirt mila ,2,warm,false,two,boho,straight,garnet
Agnes T-shirt off ,2,both,false,two three,classic minimal,tight,blue_dark
Agnes T-shirt off ,2,both,false,two three,classic minimal,tight,orange
Agosto Dress ycoo,1,warm,false,three,boho classic,straight,pink
Agreable Top mila ,2,warm,false,two,minimal boho,straight,black
Agreable Top mila ,2,warm,false,two,minimal boho,straight,blue_dark
Agreable Top mila ,2,warm,false,two,minimal boho,straight,blue_dark
Agreable Top mila ,2,warm,false,two,minimal boho,straight,blue_petrol
Alba Dress light,1,warm,false,three,boho classic,straight,black
Alejandra Shirt woven ,2,both,false,two three,street,straight,blue_dark
Alexa Jeans milan ,1,both,false,two three,street casual,tight,garnet_crimson
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,green_dark
Alexa Jeans slim ,1,cold,false,two three,street casual,tight,orange_rust
Alexa Shirt melagne ,2,warm,false,two,casual boho,straight,blue
Alexa Shirt melagne ,2,warm,false,two,casual boho,straight,brown
Alice Top floral ,2,warm,false,three four,boho street,straight,green
Alice Top floral ,2,warm,false,three four,boho street,straight,blue_dark
Almond Shirt print ,2,both,false,two,classic street,straight,garnet
Almond Shirt print ,2,both,false,two,classic street,straight,green_dark
Alva Tshirt print ,2,warm,false,two,casual street,loose,yellow_mustand
Amadine Jumpsuit soft ,1,warm,false,three,boho,straight,black
Amanda Short woven ,1,warm,false,two,casual classic,straight,blue_dark
Amanda Short woven ,1,warm,false,two,casual classic,straight,brown_ecru
Amanda Short woven ,1,warm,false,two,casual classic,straight,green_light
Amanda Short woven ,1,warm,false,two,casual classic,straight,yellow_mustand
Amanda Short woven ,1,warm,false,two,casual classic,straight,pink_salmon
Amanda Short woven ,1,warm,false,two,casual classic,straight,orange_rust
Amanda Short woven ,1,warm,false,two,casual classic,straight,white
Amapola Jacket print ,3,both,false,three,classic,straight,blue_dark
Amapola Jacket print ,3,both,false,three,classic,straight,yellow
Amatista Short cerise,1,warm,false,two,classic,straight,brown_camel
